,index,Word,Count
944,798,received,9
945,1053,twixt,9
946,507,royal,9
947,2422,wretched,9
948,1244,among,9
949,896,fine,9
950,893,wake,9
951,905,parted,9
952,505,giving,9
953,887,whole,9
954,3072,simple,9
955,3021,cure,9
956,2365,weak,9
957,2457,apt,9
958,1938,weapons,9
959,4910,breast,9
960,489,due,9
961,1671,taken,8
962,1770,bleed,8
963,4135,consent,8
964,1107,rough,8
965,4164,girl,8
966,1610,brow,8
967,1714,em,8
968,5714,villany,8
969,1730,ones,8
970,1822,practise,8
971,1735,wars,8
972,1751,defend,8
973,1637,perforce,8
974,1034,withal,8
975,1696,brains,8
976,2199,spite,8
977,3757,war,8
978,4877,vice,8
979,2453,doors,8
980,1387,lend,8
981,498,beloved,8
982,2436,tempest,8
983,506,crown,8
984,512,bow,8
985,514,drawn,8
986,3656,virtuous,8
987,4467,knew,8
988,533,doom,8
989,2392,thunder,8
990,542,hearted,8
991,543,low,8
992,2391,chide,8
993,3686,fresh,8
994,561,vain,8
995,1245,grows,8
996,2351,forgot,8
997,2338,burn,8
998,589,vow,8
999,952,idle,8
1000,1228,weary,8
1001,2258,ourselves,8
1002,2476,scorn,8
1003,3597,battle,8
1004,2525,drown,8
1005,2681,madness,8
1006,2768,turk,8
1007,1340,arise,8
1008,5056,room,8
1009,3276,thence,8
1010,3419,longer,8
1011,2708,blows,8
1012,2697,ta,8
1013,2684,ease,8
1014,1358,smile,8
1015,2884,along,8
1016,353,highness,8
1017,3199,rude,8
1018,208,fast,8
1019,2656,forbid,8
1020,3224,cheek,8
1021,2896,perceive,8
1022,2642,desire,8
1023,379,unhappy,8
1024,382,majesty,8
1025,3059,chair,8
1026,1371,living,8
1027,193,lords,8
1028,4376,woo,8
1029,4199,swords,8
1030,2236,runs,8
1031,1970,angry,8
1032,3018,conduct,8
1033,7058,churchyard,8
1034,3324,flowers,8
1035,882,dull,8
1036,1169,person,8
1037,3017,quick,8
1038,794,stood,8
1039,1506,whereof,8
1040,6741,woful,8
1041,807,cover,8
1042,849,offend,8
1043,847,bears,8
1044,93,choice,8
1045,1995,nought,8
1046,3989,cup,8
1047,4296,humbly,8
1048,843,hit,8
1049,900,thrive,8
1050,2076,common,8
1051,1559,trouble,8
1052,706,affection,8
1053,2976,bark,8
1054,2977,throw,8
1055,1863,harm,8
1056,688,praise,8
1057,4700,amen,8
1058,934,understand,8
1059,2138,hair,8
1060,1450,sometimes,8
1061,3109,forgive,8
1062,2120,tree,8
1063,1906,beggar,8
1064,1908,heir,8
1065,1977,cords,8
1066,4268,isle,7
1067,3056,guests,7
1068,4247,possible,7
1069,3048,swift,7
1070,1330,rascal,7
1071,1378,whipped,7
1072,1158,terms,7
1073,1375,heed,7
1074,1230,fellows,7
1075,1411,ladies,7
1076,1203,birth,7
1077,1448,speaking,7
1078,1248,prepare,7
1079,1251,hall,7
1080,4346,foe,7
1081,1186,advise,7
1082,1476,rank,7
1083,1184,abroad,7
1084,1480,safe,7
1085,1486,scape,7
1086,19,curan,7
1087,1503,went,7
1088,1383,gall,7
1089,18,bastard,7
1090,6918,dagger,7
1091,1588,gate,7
1092,785,wash,7
1093,2171,remove,7
1094,3780,devise,7
1095,2243,begins,7
1096,2247,learned,7
1097,3792,prison,7
1098,2253,fiery,7
1099,629,approve,7
1100,2260,suffer,7
1101,624,justly,7
1102,2278,pure,7
1103,3114,untimely,7
1104,592,sentence,7
1105,582,evil,7
1106,138,issue,7
1107,3723,abuse,7
1108,3722,laugh,7
1109,140,proper,7
1110,571,bestow,7
1111,2218,children,7
1112,3829,list,7
1113,6259,orchard,7
1114,6683,corse,7
1115,2051,deal,7
1116,759,despised,7
1117,3921,saved,7
1118,752,sworn,7
1119,2082,affairs,7
1120,2083,legs,7
1121,5851,maids,7
1122,2091,twill,7
1123,2184,violent,7
1124,3901,instruments,7
1125,2102,misery,7
1126,718,intend,7
1127,3875,protest,7
1128,2158,horrible,7
1129,4849,song,7
1130,2179,neck,7
1131,567,forbear,7
1132,3706,wonder,7
1133,3140,flies,7
1134,209,intent,7
1135,2605,stones,7
1136,390,mar,7
1137,2615,brave,7
1138,5204,kisses,7
1139,2901,repent,7
1140,360,remain,7
1141,2667,felt,7
1142,333,names,7
1143,3141,wanton,7
1144,3445,lark,7
1145,5189,wench,7
1146,2694,window,7
1147,3391,hangs,7
1148,278,liberty,7
1149,267,merit,7
1150,3328,search,7
1151,2602,hovel,7
1152,2943,dares,7
1153,3532,cupid,7
1154,2571,sheets,7
1155,3657,exchange,7
1156,2958,commission,7
1157,2437,withdraw,7
1158,2474,fury,7
1159,480,effects,7
1160,3608,raise,7
1161,2486,jest,7
1162,3603,sorrows,7
1163,455,sometime,7
1164,2514,ring,7
1165,3584,salt,7
1166,4974,steal,7
1167,3578,stol,7
1168,435,cease,7
1169,3562,seal,7
1170,3956,slew,7
1171,1323,unkindness,7
1172,4689,fingers,7
1173,1747,spoken,7
1174,1719,shouldst,7
1175,4699,fate,7
1176,77,appears,7
1177,850,heat,7
1178,4625,mortal,7
1179,944,reverence,7
1180,1745,hid,7
1181,1866,natures,7
1182,985,opinion,7
1183,1016,delay,7
1184,1845,crack,7
1185,1014,satisfaction,7
1186,1763,sharp,7
1187,862,fourteen,7
1188,1914,addition,7
1189,1771,fled,7
1190,991,apprehend,7
1191,3016,loss,7
1192,58,palace,7
1193,1794,whether,7
1194,1803,thanks,7
1195,827,receive,7
1196,4786,jealousy,7
1197,967,brain,7
1198,5702,yonder,7
1199,1835,besides,7
1200,5822,abraham,7
1201,2006,perchance,7
1202,3976,sad,7
1203,825,rash,7
1204,3095,mock,7
1205,5348,beshrew,7
1206,4734,civil,7
1207,1082,thieves,7
1208,5808,houses,7
1209,1715,seven,7
1210,1978,twain,7
1211,4114,bell,7
1212,1843,vengeance,7
1213,4113,citizens,6
1214,5679,fatal,6
1215,5993,den,6
1216,2469,main,6
1217,3571,crying,6
1218,1376,whip,6
1219,4245,turkish,6
1220,1834,grant,6
1221,3601,worser,6
1222,3593,pitiful,6
1223,4246,fleet,6
1224,2516,effect,6
1225,1801,proclaim,6
